ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00070374;Marvin;Schwäbe;Schwäbe;Marvin Schwäbe;1. FC Köln;GOALKEEPER;2800000;224;Feb 99
pl-k00070409;Michy;Batshuayi;Batshuayi;Michy Batshuayi;Eintracht Frankfurt;FORWARD;1600000;11;Apr 25
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Bayern München;DEFENDER;5000000;180;Feb 83
pl-k00070598;Luca;Waldschmidt;Waldschmidt;Luca Waldschmidt;1. FC Köln;FORWARD;1600000;71;Mrz 94
pl-k00070605;Harry;Kane;Kane;Harry Kane;Bayern München;FORWARD;8500000;407;Feb 32
pl-k00070806;Maximilian;Philipp;Philipp;Maximilian Philipp;SC Freiburg;FORWARD;1000000;4;0.0
pl-k00070987;Carl;Klaus;Klaus;Carl Klaus;1. FC Union Berlin;GOALKEEPER;500000;35;02. Mai
pl-k00070990;Matthias;Ginter;Ginter;Matthias Ginter;SC Freiburg;DEFENDER;3600000;239;Feb 94
pl-k00070997;Robert;Andrich;Andrich;Robert Andrich;Bayer 04 Leverkusen;MIDFIELDER;2700000;86;Mrz 88
pl-k00071021;Benjamin;Henrichs;Henrichs;Benjamin Henrichs;RB Leipzig;DEFENDER;2200000;31;Apr 38
pl-k00071150;Joshua;Kimmich;Kimmich;Joshua Kimmich;Bayern München;MIDFIELDER;6000000;230;Feb 71
pl-k00071151;Niklas;Stark;Stark;Niklas Stark;Werder Bremen;DEFENDER;2200000;26;Mrz 82
pl-k00071294;Dominik;Kohr;Kohr;Dominik Kohr;1. FSV Mainz 05;DEFENDER;2200000;87;Mrz 75
pl-k00071610;Janik;Haberer;Haberer;Janik Haberer;1. FC Union Berlin;MIDFIELDER;1500000;62;Mrz 93
pl-k00071930;Yannick;Gerhardt;Gerhardt;Yannick Gerhardt;VfL Wolfsburg;MIDFIELDER;1700000;36;04. Dez
pl-k00071980;Marius;Müller;M. Müller;Marius Müller;VfL Wolfsburg;GOALKEEPER;800000;-6;0.0
pl-k00072478;Mark;Flekken;Flekken;Mark Flekken;Bayer 04 Leverkusen;GOALKEEPER;3400000;130;Mrz 25
pl-k00072607;Niklas;Lomb;Lomb;Niklas Lomb;Bayer 04 Leverkusen;GOALKEEPER;500000;0;0.0
pl-k00072675;Matthias;Köbbing;Köbbing;Matthias Köbbing;1. FC Köln;GOALKEEPER;500000;0;0.0
pl-k00072676;Benedikt;Gimber;Gimber;Benedikt Gimber;1. FC Heidenheim;DEFENDER;1600000;22;Apr 24
pl-k00072684;Leopold;Zingerle;Zingerle;Leopold Zingerle;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00072706;Christian;Günter;Günter;Christian Günter;SC Freiburg;DEFENDER;2400000;76;Mrz 68
pl-k00072755;Alexander;Nübel;Nübel;Alexander Nübel;VfB Stuttgart;GOALKEEPER;3200000;228;3.0
pl-k00072759;Vincenzo;Grifo;Grifo;Vincenzo Grifo;SC Freiburg;MIDFIELDER;3600000;148;Mrz 54
pl-k00073206;Marcel;Sabitzer;Sabitzer;Marcel Sabitzer;Borussia Dortmund;MIDFIELDER;2600000;121;Mrz 33
pl-k00073704;Patrick;Mainka;P. Mainka;Patrick Mainka;1. FC Heidenheim;DEFENDER;3000000;181;Mrz 34
pl-k00074593;Robert;Glatzel;Glatzel;Robert Glatzel;Hamburger SV;FORWARD;2000000;55;Mrz 88
pl-k00075006;Jeffrey;Gouweleeuw;Gouweleeuw;Jeffrey Gouweleeuw;FC Augsburg;DEFENDER;2600000;36;Mrz 68
pl-k00075196;Jordan;Torunarigha;Torunarigha;Jordan Torunarigha;Hamburger SV;DEFENDER;1700000;65;Mrz 79
pl-k00075261;Haris;Tabakovic;Tabakovic;Haris Tabakovic;Bor. Mönchengladbach;FORWARD;2000000;127;Mrz 88
pl-k00075379;Silvan;Widmer;Widmer;Silvan Widmer;1. FSV Mainz 05;DEFENDER;1200000;84;Mrz 77
pl-k00075608;Finn;Dahmen;Dahmen;Finn Dahmen;FC Augsburg;GOALKEEPER;3200000;185;Mrz 24
pl-k00075624;Niklas;Dorsch;Dorsch;Niklas Dorsch;1. FC Heidenheim;MIDFIELDER;1700000;123;03. Mai
pl-k00075628;Salih;Özcan;Özcan;Salih Özcan;Borussia Dortmund;MIDFIELDER;1600000;22;0.0
pl-k00075651;Frederik;Rönnow;Rönnow;Frederik Rönnow;1. FC Union Berlin;GOALKEEPER;3000000;173;Mrz 17
pl-k00076053;Michael;Zetterer;Zetterer;Michael Zetterer;Eintracht Frankfurt;GOALKEEPER;2600000;102;Mrz 43
pl-k00076084;Sargis;Adamyan;Adamyan;Sargis Adamyan;1. FC Köln;FORWARD;1000000;0;0.0
pl-k00076421;Phillipp;Mwene;Mwene;Phillipp Mwene;1. FSV Mainz 05;DEFENDER;2600000;107;Mrz 67
pl-k00076446;Yussuf;Poulsen;Poulsen;Yussuf Poulsen;Hamburger SV;FORWARD;2000000;27;03. Sep
pl-k00076575;Lukas;Klostermann;Klostermann;Lukas Klostermann;RB Leipzig;DEFENDER;2000000;14;3.0
pl-k00076796;Robin;Fellhauer;Fellhauer;Robin Fellhauer;FC Augsburg;MIDFIELDER;1800000;105;Mrz 84
pl-k00076954;Tim;Kleindienst;Kleindienst;Tim Kleindienst;Bor. Mönchengladbach;FORWARD;3500000;6;0.0
pl-k00077009;Ihlas;Bebou;Bebou;Ihlas Bebou;TSG Hoffenheim;FORWARD;1600000;30;4.0
pl-k00077333;Marvin;Friedrich;Friedrich;Marvin Friedrich;Bor. Mönchengladbach;DEFENDER;1500000;8;Apr 25
pl-k00077817;Hauke;Wahl;Wahl;Hauke Wahl;FC St. Pauli;DEFENDER;2000000;112;03. Jul
pl-k00078917;Jannik;Huth;Huth;Jannik Huth;SC Freiburg;GOALKEEPER;500000;0;0.0
pl-k00079036;Mahmoud;Dahoud;Dahoud;Mahmoud Dahoud;Eintracht Frankfurt;MIDFIELDER;1600000;38;04. Mai
pl-k00079078;Nikola;Vasilj;Vasilj;Nikola Vasilj;FC St. Pauli;GOALKEEPER;3200000;193;Mrz 22
pl-k00079176;Atakan;Karazor;Karazor;Atakan Karazor;VfB Stuttgart;MIDFIELDER;3000000;90;Mrz 57
pl-k00079199;Moritz;Nicolas;Nicolas;Moritz Nicolas;Bor. Mönchengladbach;GOALKEEPER;2600000;246;Feb 97
pl-k00079360;Pascal;Stenzel;P. Stenzel;Pascal Stenzel;VfB Stuttgart;DEFENDER;1400000;4;4.0
pl-k00079503;Maximilian;Eggestein;M. Eggestein;Maximilian Eggestein;SC Freiburg;MIDFIELDER;2200000;143;Mrz 59
pl-k00079577;Marius;Wolf;M. Wolf;Marius Wolf;FC Augsburg;DEFENDER;1700000;65;Mrz 93
pl-k00079713;Jonas;Föhrenbach;Föhrenbach;Jonas Föhrenbach;1. FC Heidenheim;DEFENDER;1600000;93;Mrz 67
pl-k00079813;Maximilian;Mittelstädt;Mittelstädt;Maximilian Mittelstädt;VfB Stuttgart;DEFENDER;3200000;200;03. Mai
pl-k00079917;Daniel-Kofi;Kyereh;Kyereh;Daniel-Kofi Kyereh;SC Freiburg;MIDFIELDER;1000000;0;0.0
pl-k00079935;Lucas;Höler;Höler;Lucas Höler;SC Freiburg;FORWARD;2500000;86;Mrz 98
pl-k00080083;Nadiem;Amiri;Amiri;Nadiem Amiri;1. FSV Mainz 05;MIDFIELDER;4000000;190;Mrz 25
pl-k00080088;Grischa;Prömel;Prömel;Grischa Prömel;TSG Hoffenheim;MIDFIELDER;2000000;182;03. Apr
pl-k00080172;Timo;Hübers;Hübers;Timo Hübers;1. FC Köln;DEFENDER;1800000;38;Mrz 31
pl-k00080174;Waldemar;Anton;Anton;Waldemar Anton;Borussia Dortmund;DEFENDER;3500000;207;Feb 98
pl-k00080351;Chris;Führich;Führich;Chris Führich;VfB Stuttgart;MIDFIELDER;3400000;203;03. Feb
pl-k00080364;Amos;Pieper;Pieper;Amos Pieper;Werder Bremen;DEFENDER;1700000;102;Mrz 22
pl-k00080554;Elvis;Rexhbecaj;Rexhbecaj;Elvis Rexhbecaj;FC Augsburg;MIDFIELDER;1600000;64;Mrz 74
pl-k00080766;Florian;Müller;F. Müller;Florian Müller;SC Freiburg;GOALKEEPER;800000;0;0.0
pl-k00080875;Adrian;Beck;Beck;Adrian Beck;1. FC Heidenheim;MIDFIELDER;1800000;48;Mrz 96
pl-k00081053;Vladimir;Coufal;Coufal;Vladimir Coufal;TSG Hoffenheim;DEFENDER;1800000;238;Feb 99
pl-k00081465;Alejandro;Grimaldo;Grimaldo;Alejandro Grimaldo;Bayer 04 Leverkusen;DEFENDER;3800000;247;Feb 98
pl-k00081913;Florian;Neuhaus;Neuhaus;Florian Neuhaus;Bor. Mönchengladbach;MIDFIELDER;1500000;48;Mrz 69
pl-k00081971;Jackson;Irvine;Irvine;Jackson Irvine;FC St. Pauli;MIDFIELDER;2000000;52;Mrz 95
pl-k00082119;Fabian;Bredlow;Bredlow;Fabian Bredlow;VfB Stuttgart;GOALKEEPER;800000;0;0.0
pl-k00082711;Sirlord;Conteh;S. Conteh;Sirlord Conteh;1. FC Heidenheim;MIDFIELDER;1200000;18;04. Apr
pl-k00082727;Robin;Hack;Hack;Robin Hack;Bor. Mönchengladbach;MIDFIELDER;2800000;20;Mrz 88
pl-k00082732;Denis;Vavro;Vavro;Denis Vavro;VfL Wolfsburg;DEFENDER;2300000;43;Mrz 92
pl-k00083017;Lucas;Vazquez;Vazquez;Lucas Vazquez;Bayer 04 Leverkusen;DEFENDER;3200000;45;03. Mai
pl-k00083988;Marius;Bülter;Bülter;Marius Bülter;1. FC Köln;FORWARD;1800000;91;Mrz 98
pl-k00084309;Jonas;Omlin;Omlin;Jonas Omlin;Bayer 04 Leverkusen;GOALKEEPER;2000000;0;0.0
pl-k00084365;Nico;Elvedi;Elvedi;Nico Elvedi;Bor. Mönchengladbach;DEFENDER;1900000;164;Mrz 33
pl-k00084538;Manolis;Saliakas;Saliakas;Manolis Saliakas;FC St. Pauli;DEFENDER;1800000;47;03. Sep
pl-k00084550;Robin;Koch;R. Koch;Robin Koch;Eintracht Frankfurt;DEFENDER;3600000;106;03. Aug
pl-k00084940;Philipp;Lienhart;Lienhart;Philipp Lienhart;SC Freiburg;DEFENDER;2600000;86;Mrz 29
pl-k00084943;Konrad;Laimer;Laimer;Konrad Laimer;Bayern München;DEFENDER;3000000;210;Feb 86
pl-k00085382;Jeff;Chabot;Chabot;Jeff Chabot;VfB Stuttgart;DEFENDER;3400000;183;Feb 79
pl-k00085778;Patrik;Schick;Schick;Patrik Schick;Bayer 04 Leverkusen;FORWARD;5500000;174;Mrz 38
pl-k00086106;Phillip;Tietz;P. Tietz;Phillip Tietz;1. FSV Mainz 05;FORWARD;2000000;117;Mrz 66
pl-k00086138;Niklas;Beste;Beste;Niklas Beste;SC Freiburg;MIDFIELDER;2300000;123;Mrz 41
pl-k00086142;Linton;Maina;Maina;Linton Maina;1. FC Köln;MIDFIELDER;1800000;58;Mrz 83
pl-k00086166;Raphael;Guerreiro;Guerreiro;Raphael Guerreiro;Bayern München;DEFENDER;2800000;95;Mrz 27
pl-k00087260;Sheraldo;Becker;Becker;Sheraldo Becker;1. FSV Mainz 05;FORWARD;2000000;82;Mrz 25
pl-k00087292;Kevin;Diks;Diks;Kevin Diks;Bor. Mönchengladbach;DEFENDER;1800000;157;Mrz 41
pl-k00087673;Gregor;Kobel;Kobel;Gregor Kobel;Borussia Dortmund;GOALKEEPER;3600000;254;Feb 85
pl-k00087705;Ermedin;Demirovic;Demirovic;Ermedin Demirovic;VfB Stuttgart;FORWARD;3500000;151;Mrz 34
pl-k00087750;David;Raum;Raum;David Raum;RB Leipzig;DEFENDER;3200000;208;03. Feb
pl-k00087823;Jae-Sung;Lee;J.-S. Lee;Jae-Sung Lee;1. FSV Mainz 05;MIDFIELDER;3500000;109;Mrz 71
pl-k00087885;Deniz;Undav;Undav;Deniz Undav;VfB Stuttgart;FORWARD;4000000;255;Feb 89
pl-k00087967;Alex;Kral;Kral;Alex Kral;1. FC Union Berlin;MIDFIELDER;1600000;36;03. Sep
pl-k00088061;Tim;Skarke;Skarke;Tim Skarke;1. FC Union Berlin;MIDFIELDER;1600000;34;04. Jan
pl-k00088151;Dayot;Upamecano;Upamecano;Dayot Upamecano;Bayern München;DEFENDER;3600000;145;Feb 95
pl-k00088182;Yannik;Keitel;Keitel;Yannik Keitel;FC Augsburg;MIDFIELDER;1600000;12;03. Jul
pl-k00088192;Jonathan;Burkardt;Burkardt;Jonathan Burkardt;Eintracht Frankfurt;FORWARD;5000000;141;Mrz 39
pl-k00088240;Aleix;Garcia;Aleix Garcia;Aleix Garcia;Bayer 04 Leverkusen;MIDFIELDER;2300000;223;03. Jun
pl-k00088765;Lars;Ritzka;La. Ritzka;Lars Ritzka;FC St. Pauli;DEFENDER;1400000;22;Apr 23
pl-k00089233;Mathias;Honsak;Honsak;Mathias Honsak;1. FC Heidenheim;MIDFIELDER;1500000;42;Apr 21
pl-k00089434;Xaver;Schlager;X. Schlager;Xaver Schlager;RB Leipzig;MIDFIELDER;2600000;137;03. Feb
pl-k00089442;Serhou;Guirassy;Guirassy;Serhou Guirassy;Borussia Dortmund;FORWARD;6500000;186;03. Mai
pl-k00089649;Ramy;Bensebaini;Bensebaini;Ramy Bensebaini;Borussia Dortmund;DEFENDER;2800000;154;Feb 84
pl-k00089655;Ellyes;Skhiri;Skhiri;Ellyes Skhiri;Eintracht Frankfurt;MIDFIELDER;2200000;19;Apr 33
pl-k00089857;Maxim;Leitsch;Leitsch;Maxim Leitsch;1. FSV Mainz 05;DEFENDER;1400000;6;4.0
pl-k00089892;Ridle;Baku;R. Baku;Ridle Baku;RB Leipzig;DEFENDER;2400000;136;03. Mai
pl-k00090042;Marco;Friedl;Friedl;Marco Friedl;Werder Bremen;DEFENDER;3600000;126;Mrz 45
pl-k00090133;Omar Haktab;Traoré;Traoré;Omar Haktab Traoré;1. FC Heidenheim;DEFENDER;1700000;66;Mrz 76
pl-k00090213;Stefan;Posch;Posch;Stefan Posch;1. FSV Mainz 05;DEFENDER;1500000;74;Mrz 34
pl-k00090371;Philipp;Sander;Sander;Philipp Sander;Bor. Mönchengladbach;MIDFIELDER;1700000;112;Mrz 67
pl-k00090996;Exequiel;Palacios;Palacios;Exequiel Palacios;Bayer 04 Leverkusen;MIDFIELDER;3600000;60;Mrz 54
pl-k00091126;Franck;Honorat;Honorat;Franck Honorat;Bor. Mönchengladbach;MIDFIELDER;3000000;89;Mrz 87
pl-k00091372;Josip;Juranovic;Juranovic;Josip Juranovic;1. FC Union Berlin;DEFENDER;1600000;41;03. Feb
pl-k00091406;Maximilian;Wöber;Wöber;Maximilian Wöber;Werder Bremen;DEFENDER;1700000;6;3.0
pl-k00092237;Danilho;Doekhi;Doekhi;Danilho Doekhi;1. FC Union Berlin;DEFENDER;2400000;180;Mrz 44
pl-k00092331;Bernardo;Fernandes da Silva Junior;Bernardo;Bernardo;TSG Hoffenheim;DEFENDER;2200000;106;Mrz 54
pl-k00093478;Oliver;Burke;Burke;Oliver Burke;1. FC Union Berlin;FORWARD;1800000;79;04. Feb
pl-k00093610;Pavao;Pervan;Pervan;Pavao Pervan;VfL Wolfsburg;GOALKEEPER;500000;0;0.0
pl-k00093688;Cedric;Zesiger;Zesiger;Cedric Zesiger;FC Augsburg;DEFENDER;2000000;50;04. Feb
pl-k00093843;Daniel;Klein;Klein;Daniel Klein;FC Augsburg;GOALKEEPER;500000;0;0.0
pl-k00093857;Tom;Krauß;Krauß;Tom Krauß;1. FC Köln;MIDFIELDER;1700000;93;Mrz 54
pl-k00094305;Tim;Siersleben;Siersleben;Tim Siersleben;1. FC Heidenheim;DEFENDER;1400000;38;Mrz 81
pl-k00094599;Stefan;Schimmer;Schimmer;Stefan Schimmer;1. FC Heidenheim;FORWARD;600000;78;Mrz 53
pl-k00094605;Bakery;Jatta;Jatta;Bakery Jatta;Hamburger SV;MIDFIELDER;1300000;36;Mrz 96
pl-k00094875;Matheo;Raab;Raab;Matheo Raab;1. FC Union Berlin;GOALKEEPER;800000;10;02. Mai
pl-k00094959;Romano;Schmid;Schmid;Romano Schmid;Werder Bremen;MIDFIELDER;3500000;127;Mrz 82
pl-k00095063;Kristijan;Jakic;Jakic;Kristijan Jakic;FC Augsburg;MIDFIELDER;1800000;66;Mrz 85
pl-k00095202;Stefan;Drljaca;Drljaca;Stefan Drljaca;VfB Stuttgart;GOALKEEPER;500000;0;0.0
pl-k00095291;Lovro;Majer;Majer;Lovro Majer;VfL Wolfsburg;MIDFIELDER;2000000;62;4.0
pl-k00095487;Robert;Skov;Skov;Robert Skov;1. FC Union Berlin;MIDFIELDER;1600000;-2;Apr 67
pl-k00095639;Luca;Kilian;Kilian;Luca Kilian;1. FC Köln;DEFENDER;1300000;0;0.0
pl-k00095745;Derrick;Köhn;Köhn;Derrick Köhn;1. FC Union Berlin;DEFENDER;1800000;106;03. Mai
pl-k00096032;Felix;Agu;Agu;Felix Agu;Werder Bremen;DEFENDER;1800000;10;Apr 23
pl-k00096140;Nico;Schlotterbeck;N. Schlotterbeck;Nico Schlotterbeck;Borussia Dortmund;DEFENDER;3400000;217;Feb 88
pl-k00096210;Eric;Smith;Smith;Eric Smith;FC St. Pauli;DEFENDER;2200000;58;04. Feb
pl-k00096661;Jean-Luc;Dompé;Dompé;Jean-Luc Dompé;Hamburger SV;MIDFIELDER;2300000;58;Mrz 82
pl-k00096680;Rasmus;Kristensen;Kristensen;Rasmus Kristensen;Eintracht Frankfurt;DEFENDER;3400000;77;Mrz 66
pl-k00097350;Dimitrios;Giannoulis;Giannoulis;Dimitrios Giannoulis;FC Augsburg;DEFENDER;2100000;80;Mrz 94
pl-k00097392;Budu;Zivzivadze;Zivzivadze;Budu Zivzivadze;1. FC Heidenheim;FORWARD;1800000;43;04. Jun
pl-k00097452;Alexis;Claude-Maurice;Claude-Maurice;Alexis Claude-Maurice;FC Augsburg;MIDFIELDER;3000000;171;Mrz 35
pl-k00097797;Martin;Terrier;Terrier;Martin Terrier;Bayer 04 Leverkusen;FORWARD;2000000;60;Mrz 58
pl-k00097892;Jan;Olschowsky;Olschowsky;Jan Olschowsky;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00097893;Diant;Ramaj;Ramaj;Diant Ramaj;1. FC Heidenheim;GOALKEEPER;2800000;161;Mrz 26
pl-k00097916;Ransford-Yeboah;Königsdörffer;Königsdörffer;Ransford-Yeboah Königsdörffer;Hamburger SV;FORWARD;2000000;26;Apr 42
pl-k00098050;Koki;Machida;Machida;Koki Machida;TSG Hoffenheim;DEFENDER;1800000;-2;5.0
pl-k00098905;Miro;Muheim;Muheim;Miro Muheim;Hamburger SV;DEFENDER;1800000;64;Mrz 93
pl-k00099019;Noah;Katterbach;Katterbach;Noah Katterbach;Hamburger SV;DEFENDER;1400000;0;0.0
pl-k00099583;Alphonso;Davies;Davies;Alphonso Davies;Bayern München;DEFENDER;3200000;37;Mrz 88
pl-k00099747;Ragnar;Ache;Ache;Ragnar Ache;1. FC Köln;FORWARD;2400000;157;Mrz 22
pl-k00099757;Mattias;Svanberg;Svanberg;Mattias Svanberg;VfL Wolfsburg;MIDFIELDER;1700000;49;4.0
pl-k00099897;Lennard;Maloney;Maloney;Lennard Maloney;1. FSV Mainz 05;MIDFIELDER;1400000;34;Apr 17
pl-k00099914;Josha;Vagnoman;Vagnoman;Josha Vagnoman;VfB Stuttgart;DEFENDER;1800000;95;Mrz 61
pl-k00099946;Nikolas;Nartey;Nartey;Nikolas Nartey;VfB Stuttgart;MIDFIELDER;1000000;138;03. Mrz
pl-k00100299;Dan-Axel;Zagadou;Zagadou;Dan-Axel Zagadou;VfB Stuttgart;DEFENDER;1600000;14;03. Mai
pl-k00100305;Anthony;Caci;Caci;Anthony Caci;1. FSV Mainz 05;DEFENDER;3000000;28;Mrz 67
pl-k00100591;Paul;Nebel;Nebel;Paul Nebel;1. FSV Mainz 05;MIDFIELDER;4200000;118;Mrz 58
pl-k00100606;Jan;Thielmann;Thielmann;Jan Thielmann;1. FC Köln;MIDFIELDER;1500000;86;Mrz 76
pl-k00100804;Ozan;Kabak;Kabak;Ozan Kabak;TSG Hoffenheim;DEFENDER;1600000;131;Mrz 23
pl-k00101253;Mads;Pedersen;Pedersen;Mads Pedersen;FC Augsburg;DEFENDER;1000000;6;4.0
pl-k00101451;Benedict;Hollerbach;Hollerbach;Benedict Hollerbach;1. FSV Mainz 05;FORWARD;3300000;39;04. Mai
pl-k00101460;Keven;Schlotterbeck;K. Schlotterbeck;Keven Schlotterbeck;FC Augsburg;DEFENDER;2000000;79;Mrz 65
pl-k00101614;Diogo Filipe;Monteiro Pinto Leite;Diogo Leite;Diogo Leite;1. FC Union Berlin;DEFENDER;2000000;72;Mrz 72
pl-k00101721;Woo-Yeong;Jeong;Jeong;Woo-Yeong Jeong;1. FC Union Berlin;MIDFIELDER;1700000;50;Apr 16
pl-k00102731;Josip;Stanisic;Stanisic;Josip Stanisic;Bayern München;DEFENDER;2700000;168;Feb 96
pl-k00102795;Luca;Philipp;L. Philipp;Luca Philipp;TSG Hoffenheim;GOALKEEPER;800000;0;0.0
pl-k00102800;Christoph;Baumgartner;Baumgartner;Christoph Baumgartner;RB Leipzig;MIDFIELDER;2300000;256;Mrz 17
pl-k00102817;Ritsu;Doan;Doan;Ritsu Doan;Eintracht Frankfurt;MIDFIELDER;4200000;113;Mrz 87
pl-k00102956;Kamil;Grabara;Grabara;Kamil Grabara;VfL Wolfsburg;GOALKEEPER;3000000;239;Feb 93
pl-k00102980;Christian Joe;Conteh;C. Conteh;Christian Joe Conteh;1. FC Heidenheim;FORWARD;1500000;14;04. Aug
pl-k00103305;Philipp;Treu;Treu;Philipp Treu;SC Freiburg;DEFENDER;2200000;105;Mrz 58
pl-k00103374;Patrick;Osterhage;Osterhage;Patrick Osterhage;SC Freiburg;MIDFIELDER;2200000;44;Mrz 93
pl-k00103527;Danel;Sinani;Sinani;Danel Sinani;FC St. Pauli;MIDFIELDER;1600000;83;4.0
pl-k00103767;Rogerio;Oliveira da Silva;Rogerio;Rogerio;VfL Wolfsburg;DEFENDER;1300000;0;0.0
